A Tale of Two Cities, Charles Dickens, English, 1859, 200 million	
The Lord of the Rings, J. R. R. Tolkien, English, 1954, 150 million
The Little Prince, Antoine de Saint-Exupery, French, 1943, 140 million
And Then There Were None, Agatha Christie, English, 1939, 100 million
Dream of the Red Chamber, Cao Xueqin, Chinese, 1745, 100 million
The Hobbit, J. R. R. Tolkien, English, 1937, 100 million		
She: A History of Adventure, H. Rider Haggard, English, 1887, 100 million
The Lion the Witch and the Wardrobe, C. S. Lewis, English, 1950, 85 million		
The Da Vinci Code, Dan Brown, English, 2003, 80 million		
Think and Grow Rich, Napoleon Hill, English, 1937, 70 million
The Catcher in the Rye, J. D. Salinger, English, 1951, 65 million
The Alchemist, Paulo Coelho, Portuguese, 1988, 65 million	
Steps to Christ, Ellen G. White, English, 1892, 60 million
Lolita, Vladimir Nabokov, English, 1955, 50 million
Heidi's Years of Wandering and Learning, Johanna Spyri, German, 1880, 50 million			
The Common Sense Book of Baby and Child Care, Dr. Benjamin Spock, English, 1946, 50 million			
Anne of Green Gables, Lucy Maud Montgomery, English, 1908, 50 million
Black Beauty: His Grooms and Companions: The autobiography of a horse, Anna Sewell, English, 1877, 50 million				
The Name of the Rose, Umberto Eco, Italian, 1980, 50 million
The Eagle Has Landed, Jack Higgins, English, 1975, 50 million
Watership Down, Richard Adams, English, 1972, 50 million	
The Hite Report, Shere Hite, English, 1976, 50 million
Charlotte's Web, E.B. White, English, 1952, 50 million
The Ginger Man, J. P. Donleavy, English, 1955, 50 million
The Bridges of Madison County, Robert James Waller, English, 1991, 50 million				
The Tale of Peter Rabbit, Beatrix Potter, English, 1902, 45 million
Harry Potter and the Deathly Hallows, J. K. Rowling, English, 2007, 44 million
Jonathan Livingston Seagull, Richard Bach, English, 1970, 40 million
A Message to Garcia, Elbert Hubbard, English, 1899, 40 million
Sophie's World, Jostein Gaarder, Norwegian, 1991, 40 million
Flowers in the Attic, V. C. Andrews, English, 1979, 40 million
Angels & Demons, Dan Brown, English, 2000, 39 million
How the Steel Was Tempered, Nikolai Ostrovsky, Russian, 1932, 36.4 million
War and Peace, Leo Tolstoy, Russian, 1869, 36 million
The Adventures of Pinocchio, Carlo Collodi, Italian, 1881, 35 million
You Can Heal Your Life, Louise Hay, English, 1984, 35 million
Your Erroneous Zones, Wayne Dyer, English, 1976, 35 million
The Late Great Planet Earth, Hal Lindsey & C. C. Carlson, English, 1970, 35 million
Kane and Abel, Jeffrey Archer, English, 1979, 34 million
In His Steps: What Would Jesus Do?, Charles M. Sheldon, English, 1896, 30 million
To Kill a Mockingbird, Harper Lee, English, 1960, 30 million
Valley of the Dolls, Jacqueline Susann, English, 1966, 30 million
Gone with the Wind, Margaret Mitchell, English, 1936, 30 million
The Diary of a Young Girl, Anne Frank, Dutch, 1947, 30 million
One Hundred Years of Solitude, Gabriel Garcia Marquez, Spanish, 1967, 30 million
The Purpose Driven Life, Rick Warren, English, 2002, 30 million
The Thorn Birds, Colleen McCullough, English, 1977, 30 million
The Revolt of Mamie Stover, William Bradford Huie, English, 1951, 30 million
The Girl with the Dragon Tattoo, Stieg Larsson, Swedish, 2005, 30 million
The Very Hungry Caterpillar, Eric Carle, English, 1969, 30 million
